"";"state";"state_abbreviation";"state_fips_code";"closed_k_12_public_schools";"closed_day_cares";"banned_visitors_to_nursing_homes";"closed_other_non_essential_businesses";"closed_restaurants";"closed_gyms";"closed_movie_theaters";"closed_bars";"closed_casinos";"mention_of_tribal_casinos";"closed_businesses_overnight";"began_to_reopen_businesses_statewide";"reopened_restaurants";"initially_reopened_restaurants_for_outdoor_dining_only";"reopened_gyms";"reopened_movie_theaters";"reopened_hair_salons_barber_shops";"reopened_religious_gatherings";"reopened_other_non_essential_retail";"reopened_bars";"reopened_child_care";"reopened_casinos";"allowed_businesses_to_reopen_overnight";"began_to_re_close_bars";"closed_bars_x2";"closed_movie_theaters_x2";"closed_gyms_x2";"closed_hair_salons_barber_shops_x2";"closed_restaurants_x2";"closed_casinos_x2";"reopened_restaurants_x2";"reopened_bars_x2";"reopened_gyms_x2";"reopened_movie_theaters_x2";"reopened_casinos_x2";"closed_bars_x3";"closed_restaurants_x3";"reopened_restaurants_x3"
"1";"Alabama";"AL";1;2020-03-20;2020-03-20;2020-03-19;2020-03-28;2020-03-19;2020-03-28;2020-03-28;2020-03-19;2020-03-28;0;NA;2020-04-30;2020-05-11;0;2020-05-11;2020-05-22;2020-05-11;2020-05-11;2020-04-30;2020-05-11;2020-05-23;2020-05-22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";"Alaska";"AK";2;2020-03-16;NA;NA;2020-03-24;2020-03-18;2020-03-18;2020-03-18;2020-03-18;NA;0;NA;2020-04-24;2020-04-24;0;2020-05-08;2020-05-08;2020-04-24;2020-05-08;2020-04-24;2020-05-08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3";"Arizona";"AZ";4;2020-03-16;NA;NA;2020-03-31;2020-03-21;2020-03-21;2020-03-21;2020-03-21;NA;0;NA;2020-05-08;2020-05-11;0;2020-05-13;2020-05-16;2020-05-08;NA;2020-05-08;2020-05-16;NA;NA;NA;2020-06-29;2020-06-29;2020-06-29;2020-06-29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4";"Arkansas";"AR";5;2020-03-17;NA;2020-03-13;2020-04-06;2020-03-20;2020-03-20;2020-03-20;2020-03-20;2020-03-17;0;2020-11-19;2020-05-04;2020-05-11;0;2020-05-04;2020-05-18;2020-05-06;NA;2020-05-18;2020-05-19;NA;2020-05-18;2021-01-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"5";"California";"CA";6;2020-03-23;NA;NA;2020-03-19;2020-03-16;2020-03-19;2020-03-19;2020-03-16;NA;0;2020-11-21;2020-05-08;2020-05-18;0;NA;NA;2020-08-28;2020-05-25;2020-05-08;NA;NA;NA;2021-01-25;NA;NA;NA;NA;NA;2020-07-13;NA;NA;NA;NA;NA;NA;NA;NA;NA
"6";"Colorado";"CO";8;2020-03-23;NA;2020-03-12;2020-03-19;2020-03-17;2020-03-17;2020-03-17;2020-03-17;2020-03-17;0;NA;2020-05-01;2020-05-27;0;2020-06-04;2020-06-18;2020-05-01;2020-06-04;2020-05-01;2020-06-18;NA;NA;NA;2020-06-30;2020-06-30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"7";"Connecticut";"CT";9;2020-03-17;NA;2020-03-09;2020-03-23;2020-03-16;2020-03-16;2020-03-16;2020-03-16;NA;1;2020-11-02;2020-05-20;2020-05-20;1;2020-06-17;2020-06-17;2020-06-01;2020-05-29;2020-05-20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8";"Delaware";"DE";10;2020-03-16;2020-04-06;NA;2020-03-24;2020-03-16;2020-03-19;2020-03-19;2020-03-16;2020-03-16;0;2020-12-14;2020-05-08;2020-06-01;0;2020-06-01;2020-06-01;2020-06-08;2020-05-20;2020-05-20;2020-06-15;2020-06-15;2020-06-01;2021-01-08;2020-07-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"9";"District of Columbia";"DC";11;2020-03-16;NA;NA;2020-03-25;2020-03-16;2020-03-17;2020-03-17;2020-03-16;NA;0;2020-11-23;2020-05-29;2020-05-29;1;2020-06-22;2020-06-22;2020-05-29;2020-06-22;2020-06-22;2020-05-29;NA;NA;2020-11-15;NA;NA;NA;NA;NA;2020-12-23;NA;2021-01-22;NA;NA;NA;NA;NA;NA;NA
"10";"Florida";"FL";12;2020-03-17;NA;2020-03-15;2020-04-03;2020-04-03;2020-04-03;2020-04-03;2020-03-17;NA;0;NA;2020-05-18;2020-05-18;0;2020-05-18;2020-06-05;2020-05-11;NA;2020-05-18;2020-06-05;NA;NA;NA;2020-06-26;2020-06-26;NA;NA;NA;NA;NA;NA;2020-09-14;NA;NA;NA;NA;NA;NA
"11";"Georgia";"GA";13;2020-03-18;NA;2020-04-03;2020-04-03;2020-04-03;2020-04-03;2020-04-03;2020-03-24;NA;0;NA;2020-05-01;2020-04-27;0;2020-04-24;2020-04-27;2020-04-24;NA;2020-04-23;2020-06-01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"12";"Hawaii";"HI";15;2020-03-16;NA;2020-03-17;2020-03-25;2020-03-17;2020-03-25;2020-03-17;2020-03-17;NA;0;NA;2020-05-07;2020-06-05;0;2020-06-19;2020-06-19;2020-05-29;2020-05-18;2020-05-07;2020-06-26;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"13";"Idaho";"ID";16;2020-03-24;NA;NA;2020-03-25;2020-03-25;2020-03-25;2020-03-25;2020-03-25;NA;0;NA;2020-05-01;2020-05-16;0;2020-05-16;2020-05-30;2020-05-16;2020-05-01;2020-05-01;2020-05-30;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"14";"Illinois";"IL";17;2020-03-17;2020-03-23;NA;2020-03-21;2020-03-16;2020-03-21;2020-03-21;2020-03-16;2020-03-16;0;NA;2020-05-29;2020-05-29;1;2020-05-29;2020-06-26;2020-05-29;2020-05-01;2020-05-29;2020-06-26;2020-05-29;2020-07-01;NA;2020-11-20;2020-11-20;2020-11-20;NA;NA;2020-11-20;2020-11-20;NA;NA;NA;NA;NA;NA;NA;NA
"15";"Indiana";"IN";18;2020-03-20;NA;NA;2020-03-25;2020-03-16;2020-03-25;2020-03-25;2020-03-16;2020-03-16;0;NA;2020-05-18;2020-05-18;0;2020-06-01;2020-06-12;2020-05-18;2020-05-08;2020-05-18;2020-06-12;NA;2020-06-15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"16";"Iowa";"IA";19;2020-04-02;NA;NA;2020-03-26;2020-03-17;2020-03-17;2020-03-17;2020-03-17;2020-03-16;0;2020-11-17;2020-05-15;2020-05-15;0;2020-05-15;2020-05-22;2020-05-15;2020-05-01;2020-05-15;2020-05-28;NA;2020-06-01;2020-12-10;20-08-27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"17";"Kansas";"KS";20;2020-03-18;NA;NA;2020-03-30;2020-03-30;2020-03-30;2020-03-30;2020-03-30;2020-05-04;1;NA;2020-05-04;2020-05-04;0;2020-05-18;2020-05-22;2020-05-18;2020-05-04;2020-05-04;2020-06-08;NA;2020-05-22;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"18";"Kentucky";"KY";21;2020-03-17;2020-03-23;NA;2020-03-26;2020-03-16;2020-03-18;2020-03-18;2020-03-16;NA;0;2020-08-11;2020-05-11;2020-05-22;0;2020-06-01;2020-06-01;2020-05-25;2020-05-09;2020-05-20;2020-06-29;2020-06-08;NA;NA;2020-07-28;2020-07-28;NA;NA;NA;2020-11-20;NA;NA;2020-08-11;NA;NA;NA;2020-11-20;NA;NA
"19";"Louisiana";"LA";22;2020-03-16;NA;2020-03-12;2020-03-23;2020-03-17;2020-03-17;2020-03-17;2020-03-17;2020-03-17;0;NA;2020-05-01;2020-05-01;1;2020-05-15;2020-05-15;2020-05-15;2020-05-15;2020-05-15;2020-06-05;NA;2020-05-18;NA;2020-07-13;2020-07-13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"20";"Maine";"ME";23;2020-04-02;NA;NA;2020-03-25;2020-03-18;2020-03-25;2020-03-25;2020-03-18;NA;0;2020-11-20;2020-05-01;2020-06-01;1;2020-06-17;2020-07-01;2020-06-17;2020-05-29;2020-06-01;2020-06-17;NA;NA;2021-02-01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"21";"Maryland";"MD";24;2020-03-16;2020-03-30;2020-04-05;2020-03-23;2020-03-16;2020-03-16;2020-03-16;2020-03-16;2020-03-16;0;2020-11-20;2020-05-15;2020-05-29;1;2020-06-19;2020-09-01;2020-05-15;2020-05-15;2020-05-15;2020-06-12;2020-06-19;2020-06-19;2021-02-01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
