"";"state";"state_abbreviation";"state_fips_code";"population_density_per_square_mile";"population_2018"
"1";"Alabama";"AL";1;93,24;4887871
"2";"Alaska";"AK";2;1,11;737438
"3";"Arizona";"AZ";4;62,91;7171646
"4";"Arkansas";"AR";5;56,67;3013825
"5";"California";"CA";6;241,65;39557045
"6";"Colorado";"CO";8;54,72;5695564
"7";"Connecticut";"CT";9;644,54;3572665
"8";"Delaware";"DE";10;388,58;967171
"9";"District of Columbia";"DC";11;11496,81;702455
"10";"Florida";"FL";12;323,9;21299325
"11";"Georgia";"GA";13;177,02;10519475
"12";"Hawaii";"HI";15;129,94;1420491
"13";"Idaho";"ID";16;20,99;1754208
"14";"Illinois";"IL";17;220;12741080
"15";"Indiana";"IN";18;183,74;6691878
"16";"Iowa";"IA";19;56,09;3156145
"17";"Kansas";"KS";20;35,39;2911505
"18";"Kentucky";"KY";21;110,58;4468402
"19";"Louisiana";"LA";22;88,97;4659978
"20";"Maine";"ME";23;37,83;1338404
"21";"Maryland";"MD";24;487,08;6042718
"22";"Massachusetts";"MA";25;653,98;6902149
"23";"Michigan";"MI";26;103,36;9995915
"24";"Minnesota";"MN";27;64,54;5611179
"25";"Mississippi";"MS";28;61,66;2986530
"26";"Missouri";"MO";29;87,89;6126452
"27";"Montana";"MT";30;7,22;1062305
"28";"Nebraska";"NE";31;24,94;1929268
"29";"Nevada";"NV";32;27,44;3034392
"30";"New Hampshire";"NH";33;145,09;1356458
"31";"New Jersey";"NJ";34;1021,27;8908520
"32";"New Mexico";"NM";35;17,23;2095428
"33";"New York";"NY";36;358,21;19542209
"34";"North Carolina";"NC";37;192,94;10383620
"35";"North Dakota";"ND";38;10,75;760077
"36";"Ohio";"OH";39;260,77;11689442
"37";"Oklahoma";"OK";40;56,41;3943079
"38";"Oregon";"OR";41;42,6;4190713
"39";"Pennsylvania";"PA";42;278,09;12807060
"40";"Rhode Island";"RI";44;684,35;1057315
"41";"South Carolina";"SC";45;158,78;5084127
"42";"South Dakota";"SD";46;11,44;882235
"43";"Tennessee";"TN";47;160,64;6770010
"44";"Texas";"TX";48;106,86;28701845
"45";"Utah";"UT";49;37,23;3161105
"46";"Vermont";"VT";50;65,13;626299
"47";"Virginia";"VA";51;199,13;8517685
"48";"Washington";"WA";53;105,69;7535591
"49";"West Virginia";"WV";54;74,53;1805832
"50";"Wisconsin";"WI";55;88,76;5813568
"51";"Wyoming";"WY";56;5,91;577737
