"","state","state_abbreviation.x","state_fips_code.x","closed_k_12_public_schools","closed_day_cares","banned_visitors_to_nursing_homes","closed_other_non_essential_businesses","closed_restaurants","closed_gyms","closed_movie_theaters","closed_bars","closed_casinos","mention_of_tribal_casinos","closed_businesses_overnight","began_to_reopen_businesses_statewide","reopened_restaurants","initially_reopened_restaurants_for_outdoor_dining_only","reopened_gyms","reopened_movie_theaters","reopened_hair_salons_barber_shops","reopened_religious_gatherings","reopened_other_non_essential_retail","reopened_bars","reopened_child_care","reopened_casinos","allowed_businesses_to_reopen_overnight","began_to_re_close_bars","closed_bars_x2","closed_movie_theaters_x2","closed_gyms_x2","closed_hair_salons_barber_shops_x2","closed_restaurants_x2","closed_casinos_x2","reopened_restaurants_x2","reopened_bars_x2","reopened_gyms_x2","reopened_movie_theaters_x2","reopened_casinos_x2","closed_bars_x3","closed_restaurants_x3","reopened_restaurants_x3","x.x","school_day_care_notes","nursing_home_notes","religious_gathering_notes","restaurant_notes","bar_notes","gym_notes","movie_theater_notes","business_notes","casino_notes","overnight_closure_notes","state_abbreviation.y","state_fips_code.y","public_face_mask_mandate","second_mandate_for_facemasks_by_all_individuals_in_public_places","face_mask_mandate_enforced_by_fines","face_mask_mandate_enforced_by_criminal_charge_citation","no_legal_enforcement_of_face_mask_mandate","business_face_mask_mandate","end_face_mask_mandate","attempt_by_state_government_to_prevent_local_governments_from_implementing_face_mask_orders","x.y","notes.x","state_abbreviation.x.x","state_fips_code.x.x","snap_waiver_emergency_allotments_to_current_snap_households","snap_waiver_pandemic_ebt","snap_waiver_temporary_suspension_of_claims_collection","x2020_q1_snap_abawd_time_limit_waiver","state_abbreviation.y.y","state_fips_code.y.y","overall_eviction_moratorium_start","overall_eviction_moratorium_expiration","second_overall_eviction_moratorium_start","second_overall_eviction_moratorium_end","third_overall_eviction_moratorium_start","third_overall_eviction_moratorium_end","freeze_initiation_of_evictions","lift_freeze_of_eviction_initiation","second_freeze_of_eviction_initiation","lift_second_freeze_of_eviction_initiation","suspend_court_hearings_for_evictions","resume_court_hearings_for_evictions","second_suspension_of_court_hearings_for_evictions","second_resumption_of_court_hearings_for_evictions","freeze_enforcement_of_evictions","lift_freeze_of_eviction_enforcement","second_freeze_of_eviction_enforcement","lift_second_freeze_of_eviction_enforcement","covid_19_hardship_start","covid_19_hardship_expiration","second_covid_19_hardship_start","second_covid_19_hardship_expiration","cares_act_pleading_start","cares_act_pleading_end","cdc_start","cdc_end","state_abbreviation.x.x.x","state_fips_code.x.x.x","quarantine_mandate_for_some_travelers","quarantine_mandate_for_all_travelers","quarantine_mandate_ended","x.x.x","notes.y","state_abbreviation.y.y.y","state_fips_code.y.y.y","x2015_minimum_wage","x2016_minimum_wage","x2017_minimum_wage","x2018_minimum_wage","x2019_minimum_wage","jan_1_2020_minimum_wage","jul_1_2020_minimum_wage","sept_1_2020_minimum_wage","oct_1_2020_minimum_wage","x2020_minimum_wage_for_tipped_workers","x2021_minimum_wage","different_minimum_wage_for_smaller_businesses","x.y.y","notes.x.x","state_abbreviation.x.x.x.x","state_fips_code.x.x.x.x","minimum_total_earnings_required_in_the_base_period_to_qualify_for_ui","x_of_quarters_needed_with_wages_number_of_calendar_quarters_with_earnings_in_the_base_period_needed_to_qualify_for_ui","minimum_total_earnings_required_outside_the_highest_earning_calendar_quarter_of_the_base_period_to_qualify_for_ui","require_earnings_in_the_last_two_calendar_quarters_of_the_base_period_in_order_to_qualify_for_ui","earnings_in_base_period_required_to_receive_a_300_weekly_benefit_amount_for_ui","taxable_wage_amount","minimum_tax_rate","maximum_tax_rate","average_benefit_amount_august","x.x.x.x","notes.y.y","state_abbreviation.y.y.y.y","state_fips_code.y.y.y.y","population_density_per_square_mile","population_2018","square_miles","number_homeless_2019","percent_unemployed_2018","percent_living_under_the_federal_poverty_line_2018","percent_at_risk_for_serious_illness_due_to_covid","all_cause_deaths_2018","mental_health_professionals_per_100_000_population_in_2019","were_there_casino_s_in_state_land_and_non_land_based","state_has_at_least_one_american_indian_alaskan_native_reservation","state_abbreviation.x.x.x.x.x","state_fips_code.x.x.x.x.x","stay_at_home_shelter_in_place","religious_gatherings_exempt_without_clear_social_distance_mandate","stay_at_home_order_issued_but_did_not_specifically_restrict_movement_of_the_general_public","end_stay_at_home_shelter_in_place","x.y.y.y","notes","state_abbreviation.y.y.y.y.y","state_fips_code.y.y.y.y.y","no_state_unemployment_waiting_period_prior_to_pandemic_or_date_waiting_period_waived_not_found","waived_one_week_waiting_period_for_ui","reinstated_one_week_waiting_period_for_ui","waive_work_search_requirement_for_ui","reinstated_work_search_requirement_for_ui","expand_eligibility_of_unemployment_insurance_to_anyone_who_is_quarantined_and_or_taking_care_of_someone_who_is_quarantined","expand_eligibility_for_ui_to_high_risk_individuals_in_preventative_quarantine","expand_eligibility_of_ui_to_those_who_have_lost_childcare_school_closures","extend_the_amount_of_time_an_individual_can_be_on_ui","weekly_unemployment_insurance_maximum_amount_dollars","weekly_ui_maximum_amount_with_extra_stimulus_through_july_31_2020_dollars","unemployment_insurance_maximum_duration_weeks","ui_maximum_duration_with_pandemic_emergency_unemployment_compensation_cares_extension_weeks","extended_benefits_program_activated","extended_benefits_program_deactivated","total_unemployment_rate_at_extended_benefits_program_shutoff","total_unemployment_rate_relative_to_prior_year","total_unemployment_rate_relative_to_second_prior_year","x20_week_extended_benefits_program_activated","x20_week_extended_benefits_program_deactivated","x","ui_notes","eb_notes","state_abbreviation","state_fips_code","utilities_shutoff_moratorium_start","utilities_shutoff_moratorium_expiration","second_utilities_shutoff_moratorium_start","utilities_reconnection_start","utilities_reconnection_end"
"1","Alabama","AL",1,"3/20/2020","3/20/2020","3/19/2020","3/28/2020","3/19/2020","3/28/2020","3/28/2020","3/19/2020","3/28/2020",0,"0","4/30/2020","5/11/2020",0,"5/11/2020","5/22/2020","5/11/2020","5/11/2020","4/30/2020","5/11/2020","5/23/2020","5/22/2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"","","","","","","","AL - 4/30 order does not include entertainment venues, athletic facilities, and close contact personal care retail (salons, tattoo parlors etc); 5/11 order allows most retail/personal care/gyms to open","","","AL",1,"7/16/2020","0",0,0,1,"5/11/2020","0","0",NA,"AL - 7/13 order mandated face mask use in public spaces in some counties but not statewide; statewide face mask mandate only applies to close contact personal service employees, restaurant employees, and gym employees","AL",1,"3/24/2020","4/21/2020","0",0,"AL",1,"4/3/2020","6/1/2020","0","0","0","0","0","0","0","0","0","0","0","0","4/3/2020","6/1/2020","0","0","0","0","0","0","0","0","0","0","AL",1,"0","0","0",NA,"","AL",1,"$7.25","$7.25","$7.25","$7.25","$7.25","$7.25","$7.25","$7.25","$7.25","$2.13","$7.25",0,NA,"AL - No official state minimum wage","AL",1,"2340",2,780,0,"Max Benefit < $300",8000,0.65,6.8,"$250.77",NA,"","AL",1,93.24,4887871,52420,3261,5.6,16.8,43.1,54352,100.7,1,1,"AL",1,"4/4/2020",0,"0","4/30/2020",NA,"AL - Initial stay-at-home order replaced by less restrictive order on 4/30","AL",1,0,"3/16/2020","0",1,1,1,0,0,0,"275","875","20","39","5/31/2020","9/26/2020","7.0","250","175","0","0",NA,"AL - Work search requirement waived provided reasonable steps are taken to preserve ability to come back to job when quarantine is lifted or illness subsides","","AL",1,"0","0","0","0","0"
"2","Alaska","AK",2,"3/16/2020","0","0","3/24/2020","3/18/2020","3/18/2020","3/18/2020","3/18/2020","0",0,"0","4/24/2020","4/24/2020",0,"5/8/2020","5/8/2020","4/24/2020","5/8/2020","4/24/2020","5/8/2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"","","","AK-25% capacity, social distancing measures required, only households can dine together, reservations only","","AK- UPDATED 5/27","","AK - Some businesses allowed to operate at minimum basic operations despite order to close non-essential businesses; Limited businesses open 4/24, most businesses permitted to reopen 5/8 with restrictions","","","AK",2,"4/24/2020","0",1,1,0,"4/24/2020","5/22/2020","0",NA,"AK - Businesses subject to fine and/or closure if non-compliant w/ face mask mandate; individuals can face fines and charges of reckless endangerment, a misdemeanor. Masks were required only by customers in retail and personal care services, but only up to 5/22/2020 when the state's stay at home order ended and the state entered phase 3 of its reopening plan.  ","AK",2,"4/1/2020","6/5/2020","0",1,"AK",2,"3/23/2020","7/1/2020","0","0","0","0","4/10/2020","7/1/2020","0","0","3/23/2020","4/24/2020","0","0","0","0","0","0","4/10/2020","7/1/2020","0","0","0","0","9/4/2020","0","AK",2,"0","3/25/2020","2/14/2021",NA,"AK - Effective 8/11, updated traveler information delineates between Alaskan residents vs non-residents which requires testing prior to arriving and upon arrival, self quarantine plan for 14 days or until test results come back; Effective 11/16, state issued new disaster declaration further extending interstate travel policy","AK",2,"$8.75","$9.75","$9.80","$9.84","$10.19","$10.19","$10.19","$10.19","$10.19","$10.19","$10.34",0,NA,"","AK",2,"2500",2,250,0,"13636.36",41500,1,5.4,"$443.23",NA,"","AK",2,1.11,737438,665384,1907,6.8,10.9,32.8,4453,429.9,0,1,"AK",2,"3/28/2020",0,"0","4/24/2020",NA,"","AK",2,0,"3/18/2020","0",1,1,1,0,1,0,"370","970","26","39","5/3/2020","0","-","-","-","7/5/2020","12/12/2020",NA,"","","AK",2,"0","0","0","0","0"
"3","Arizona","AZ",4,"3/16/2020","0","0","3/31/2020","3/21/2020","3/21/2020","3/21/2020","3/21/2020","0",0,"0","5/8/2020","5/11/2020",0,"5/13/2020","5/16/2020","5/8/2020","0","5/8/2020","5/16/2020","0","0","0","6/29/2020","6/29/2020","6/29/2020","6/29/2020","0","0","0","0","0","0","0","0","0","0","0",NA,"","","AZ-no state action to close","","","","","AZ - 5/8 order mostly applies to retail and personal care (hair salons and barber shops); 5/11 restaurants; 5/13 reopen pools, gyms, spas","AZ- casinos temp closed but the decision was left up to sovereing tribal nations. Not a statewide mandate","","AZ",4,"0","0",0,0,0,"5/8/2020","0","3/30/2020",NA,"AZ - Face masks required only for close contact personal care; starting 3/30 local governments prevented from passing laws stricter than what was implemented at the state level (remained in place until 6/17 when a mask mandate was put into place)","AZ",4,"4/1/2020","4/17/2020","0",1,"AZ",4,"3/24/2020","10/31/2020","0","0","0","0","0","0","0","0","0","0","0","0","3/24/2020","10/31/2020","0","0","3/24/2020","10/31/2020","0","0","3/27/2020","1/31/2021","9/4/2020","2/1/2021","AZ",4,"4/9/2020","0","5/12/20",NA,"","AZ",4,"$8.05","$8.05","$10.00","$10.50","$12.00","$12.00","$12.00","$12.00","$12.00","$9.00","$12.15",0,NA,"","AZ",4,"7020",2,2340,0,"Max Benefit < $300",7000,0.05,12.85,"$237.99",NA,"","AZ",4,62.91,7171646,113990,10007,5.4,14,39.1,59282,132.9,1,1,"AZ",4,"3/31/2020",1,"0","5/16/2020",NA,"","AZ",4,0,"3/20/2020","0",1,1,1,1,1,0,"240","840","26","39","6/14/2020","12/12/2020","6.9","150","147","0","0",NA,"","","AZ",4,"0","0","0","0","0"
"4","Arkansas","AR",5,"3/17/2020","0","3/13/2020","4/6/2020","3/20/2020","3/20/2020","3/20/2020","3/20/2020","03/17/2020",0,"11/19/2020","5/4/2020","5/11/2020",0,"5/4/2020","5/18/2020","5/6/2020","0","5/18/2020","5/19/2020","0","05/18/2020","1/3/2021","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"","","","","","","","AR - 5/4 reopen gyms/fitness centers; 5/6 personal care reopen; 5/11 restaurants; 5/18 large venues reopen","","AR - Curfew for restauarants and bars that sell alcoholic beverages","AR",5,"7/20/2020","0",1,1,0,"5/11/2020","0","0",NA,"AR - Recommended but not required to wear face masks in public; 7/3 order allows cities to mandate face masks, but does not mandate face masks at state-wide level; face masks required for restaurant staff, gym/fitness center workers","AR",5,"3/24/2020","5/21/2020","0",0,"AR",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4/28/2020","7/25/2020","0","0","AR",5,"5/5/2020","0","6/15/20",NA,"AR - 4/4 banned out-of-state visitors in lodging","AR",5,"$7.50","$8.00","$8.50","$8.50","$9.25","$10.00","$10.00","$10.00","$10.00","$2.63","$11.00",1,NA,"AR - Minimum wage rates applicable to employers of four or more","AR",5,"2835",2,1,0,"31200",7000,0.1,6,"$223.84",NA,"","AR",5,56.67,3013825,53179,2717,4.5,17.2,43.5,32336,231.6,1,0,"AR",5,"0",0,"0","0",NA,"","AR",5,0,"3/17/2020","0",1,1,1,0,0,0,"451","1051","16","33","5/31/2020","10/17/2020","7.5","208","208","0","0",NA,"","","AR",5,"4/10/2020","2/27/2021","0","4/10/2020","2/27/2021"
"5","California","CA",6,"3/23/2020","0","0","3/19/2020","3/16/2020","3/19/2020","3/19/2020","3/16/2020","0",0,"11/21/2020","5/8/2020","5/18/2020",0,"0","0","8/28/2020","5/25/2020","5/8/2020","0","0","0","1/25/2021","0","0","0","0","0","7/13/2020","0","0","0","0","0","0","0","0","0",NA,"","","","","CA - Bars never reopened statewide, however a 6/28 governor ordered all bars and nightlife to close in seven counties","CA - 7/13 reclosed gyms in some counties, but not statewide","CA - Order on 6/12 stating that counties meeting certain metrics could re-open at 25% capacity. On 7/13 there was an order closing all movie theaters","CA - Restaurants and non-essential businesses closed with stay-at-home order; Manufacturing offices (when telework not possible), outdoor museums Limited Personal Services","","CA - State-wide California order implemented regional stay at home orders","CA",6,"6/18/2020","0",0,0,1,"5/5/2020","0","0",NA,"CA - Mandated face mask use by grocery store employees","CA",6,"3/30/2020","4/23/2020","0",1,"CA",6,"3/27/2020","9/2/2020","0","0","0","0","10/5/2020","7/1/2021","0","0","4/6/2020","10/4/2020","0","0","3/27/2020","6/1/2020","0","0","3/27/2020","6/1/2020","10/5/2020","0","0","0","0","0","CA",6,"0","0","0",NA,"CA - 11/13 policy, updated 1/6, recommends quarantine for all out of state travel, but it is not mandated","CA",6,"$9.00","$10.00","$10.00","$11.00","$12.00","$12.00","$12.00","$12.00","$12.00","$12.00","$13.00",1,NA,"CA - Smaller business minimum wage applicable to employers with 25 employees or less","CA",6,"1125",2,225,0,"6900",7000,1.5,6.2,"$282.35",NA,"","CA",6,241.65,39557045,163695,151278,5.5,12.8,33.3,268818,356.2,1,1,"CA",6,"3/19/2020",0,"0","1/25/2021",NA,"","CA",6,0,"3/12/2020","0",1,1,1,1,0,0,"450","1050","26","39","5/10/2020","0","-","-","-","6/7/2020","1/16/2021",NA,"","CA - 20-week EB activation date officially shows up on 7/12 notice","CA",6,"3/4/2020","0","0","3/4/2020","0"
"6","Colorado","CO",8,"3/23/2020","0","3/12/2020","3/19/2020","3/17/2020","3/17/2020","3/17/2020","3/17/2020","03/17/2020",0,"0","5/1/2020","5/27/2020",0,"6/4/2020","6/18/2020","5/1/2020","6/4/2020","5/1/2020","6/18/2020","0","0","0","6/30/2020","6/30/2020","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"","","","","","","","CO - Retail and personal services can open 5/1/2020 if implementing best practices; Non-critical offices may open 5/4/2020 must be at 50% capacity","CO- local ""variances"" allowed certain county re-openings no statewide opening order as of 11/30/2020","","CO",8,"7/16/2020","0",0,0,0,"4/23/2020","0","0",NA,"","CO",8,"4/1/2020","5/16/2020","4/10/2020",1,"CO",8,"4/30/2020","6/14/2020","10/21/2020","1/1/2021","0","0","4/30/2020","6/14/2020","10/21/2020","1/1/2021","0","0","0","0","4/30/2020","6/14/2020","10/21/2020","1/1/2021","5/29/2020","6/14/2020","10/21/2020","1/1/2021","0","0","10/15/2020","12/31/2020","CO",8,"0","0","0",NA,"CO - Starting 12/14, Pitkin county requires all overnight travelers to receive a negative test or complete quarantine","CO",8,"$8.23","$8.31","$9.30","$10.20","$12.00","$12.00","$12.00","$12.00","$12.00","$8.98","$12.32",1,NA,"CO - Minimum wage rate and overtime provisions applicable to retail and service, commercial support service, food and beverage, and health and medical industries.","CO",8,"2500",1,0,0,"13000",13600,0.58,7.4,"$371.47",NA,"","CO",8,54.72,5695564,104094,9619,3.9,9.6,31.3,38526,356.4,1,1,"CO",8,"3/26/2020",1,"0","4/27/2020",NA,"CO - Initial stay-at-home order replaced 4/27 with safer-at-home order, which does not mandate that individuals must stay at home","CO",8,0,"3/20/2020","0",1,2,0,0,0,0,"618","1218","26","39","5/31/2020","11/28/2020","6.5","250","197","0","0",NA,"","","CO",8,"0","0","0","0","0"
"7","Connecticut","CT",9,"3/17/2020","0","3/9/2020","3/23/2020","3/16/2020","3/16/2020","3/16/2020","3/16/2020","0",1,"11/2/2020","5/20/2020","5/20/2020",1,"6/17/2020","6/17/2020","6/1/2020","5/29/2020","5/20/2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"","","CT: There was a 49 person limit prior to 5/29, this officially allowed for 25% capacity or 100 people indoors.","CT-outdoor seating only, 50% capacity; 6/17 reopened for indoor dining","","","","CT - 5/20 open restaurants, retail, offices, personal care, outdoor museums and zoos, university research","CT- governor negotiated with tribal casinos for their closing and reopening of tribal casinos. The only non-tribal gaming is OTB. ","CT - Restuarant curfew was originally 9:30 p.m. It was recently relaxed to 11 p.m. on February 2, 2021","CT",9,"4/20/2020","0",0,0,1,"4/3/2020","0","0",NA,"CT - Mandated face mask use by all essential employees","CT",9,"3/28/2020","4/24/2020","4/2/2020",1,"CT",9,"3/16/2020","2/10/2021","0","0","0","0","4/10/2020","2/10/2021","0","0","3/16/2020","9/14/2020","0","0","3/19/2020","1/3/2021","0","0","0","0","0","0","0","0","9/14/2020","2/9/2021","CT",9,"6/25/2020","0","0",NA,"CT - Mandatory self-quarantine order in place for travelers from select states","CT",9,"$9.15","$9.60","$10.10","$10.10","$11.00","$11.00","$11.00","$12.00","$12.00","$6.38","$12.00",0,NA,"","CT",9,"600",1,0,0,"15600",15000,0.5,5.4,"$289.09",NA,"","CT",9,644.54,3572665,5543,3033,5.5,10.4,36,31230,396.9,1,1,"CT",9,"0",0,"3/23/2020","5/20/2020",NA,"CT - ""Stay Safe, Stay Home"" order does not have any language that orders individuals to stay at home; 3/23/2020 safer-at-home order acted only to close nonessential businesses","CT",9,1,"0","0",1,1,0,0,1,0,"649","1249","26","39","4/26/2020","0","-","-","-","8/2/2020","12/12/2020",NA,"","","CT",9,"3/12/2020","9/30/2020","0","3/18/2020","5/2/2020"
"8","Delaware","DE",10,"3/16/2020","4/6/2020","0","3/24/2020","3/16/2020","3/19/2020","3/19/2020","3/16/2020","03/16/2020",0,"12/14/2020","5/8/2020","6/1/2020",0,"6/1/2020","6/1/2020","6/8/2020","5/20/2020","5/20/2020","6/15/2020","6/15/2020","06/01/2020","1/8/2021","7/3/2020","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"DE - Day cares only remained open for children of essential workers","","","","","","DE- not specifically mentioned in guidance but according to new reports allowed to open for phase 1 on 6/1 at 30% capacity","DE - 5/8 reopen personal care (hair salons/barber shops) with restrictions, can only serve those working in essential businesses 5/22 reopen pools","","DE - Curfew for restauarants and bars that sell alcoholic beverages","DE",10,"4/28/2020","0",1,1,0,"5/1/2020","0","0",NA,"","DE",10,"3/26/2020","4/30/2020","4/13/2020",0,"DE",10,"3/17/2020","7/1/2020","0","0","0","0","3/24/2020","7/1/2020","0","0","3/17/2020","7/1/2020","0","0","3/24/2020","7/1/2020","0","0","0","0","0","0","7/1/2020","1/31/2021","9/11/2020","1/31/2021","DE",10,"0","3/30/2020","6/1/20",NA,"","DE",10,"$8.25","$8.25","$8.25","$8.75","$9.25","$9.25","$9.25","$9.25","$9.25","$2.23","$9.25",0,NA,"","DE",10,"720",1,0,0,"13800",16500,0.1,8,"$238.98",NA,"","DE",10,388.58,967171,2489,921,5.7,12.5,41.3,9433,262.6,1,0,"DE",10,"3/24/2020",1,"0","6/1/2020",NA,"","DE",10,0,"1","0",1,1,0,0,1,0,"400","1000","26","39","5/24/2020","1/9/2021","6.4","160","178","10/11/2020","12/19/2020",NA,"DE - Waiting period has been waived but date is unknown","","DE",10,"3/24/2020","7/1/2020","0","0","0"
"9","District of Columbia","DC",11,"3/16/2020","0","0","3/25/2020","3/16/2020","3/17/2020","3/17/2020","3/16/2020","0",0,"11/23/2020","5/29/2020","5/29/2020",1,"6/22/2020","6/22/2020","5/29/2020","6/22/2020","6/22/2020","5/29/2020","0","0","11/15/2020","0","0","0","0","0","12/23/2020","0","1/22/2021","0","0","0","0","0","0","0",NA,"","","DC-Reflects the date DC allowed religious gatherings greater than 10 people","DC- 5/29 reopen restaurants for outdoor dining only","DC- initial reopening limited to outdoor bars","","DC- 6/22 allow movie theaters to apply for a waiver to reopen with social distancing plan","DC - 5/29 reopen retail (curbside pick up/delivery), barber shops/salons","","DC - Curfew mandating restaurants close at midnight and to stop serving alcohol after 10 p.m.","DC",11,"4/17/2020","0",1,0,0,"4/15/2020","0","0",NA,"","DC",11,"4/1/2020","5/19/2020","0",1,"DC",11,"3/15/2020","1/31/2021","0","0","0","0","5/13/2020","12/16/2020","0","0","3/15/2020","1/31/2021","0","0","5/13/2020","1/31/2021","0","0","0","0","0","0","0","0","","","DC",11,"7/27/2020","0","0",NA,"","DC",11,"$10.50","$11.50","$11.50","$13.25","$14.00","$14.00","$15.00","$15.00","$15.00","$5.00","$15.00",0,NA,"","DC",11,"1950",2,650,0,"11700",9000,1.6,7,"$348.75",NA,"","DC",11,11496.81,702455,61.1,6521,7.5,16.2,31.8,5008,508.6,0,0,"DC",11,"4/1/2020",0,"0","5/29/2020",NA,"","DC",11,0,"3/17/2020","0",1,1,1,0,0,0,"444","1044","26","39","5/24/2020","0","-","-","-","7/5/2020","1/16/2021",NA,"DC - Work search requirement waived provided “reasonable expectation of continued employment with the current employer” regardless of whether a specific return date has been determined","DC - 20-week EB activation date officially shows up on 11/8 notice","DC",11,"3/27/2020","1/31/2021","0","0","0"
"10","Florida","FL",12,"3/17/2020","0","3/15/2020","4/3/2020","4/3/2020","4/3/2020","4/3/2020","3/17/2020","0",0,"0","5/18/2020","5/18/2020",0,"5/18/2020","6/5/2020","5/11/2020","0","5/18/2020","6/5/2020","0","0","0","6/26/2020","6/26/2020","0","0","0","0","0","0","9/14/2020","0","0","0","0","0","0",NA,"","","FL- no state action to close religious gatherings","FL-Most counties reopen 5/4/2020-Must operate at 20% capacity. 5/18 reopened for entire state at 50% capacity.","FL- reopened in most parts of state 6/5, Miami and Broward counties reopened 6/8, but Palm Beach county remained closed
","","FL- reopened movie theaters in most counties 6/5 (Broward, Miami-Dade, Palm Beach excluded from order); Miami-Dade reopened 6/8, Broward reopened 6/15","FL - 5/4 Some retail open in most counties, must operate at 25% capacity. Does not include entire state.5/18 reopened restaurants, retail, museums/libraries, gyms, amusement parks, professional sports venues, personal care for entire state","","","FL",12,"0","0",0,0,0,"5/11/2020","0","0",NA,"FL - Mandated face mask use by personal care employees","FL",12,"3/30/2020","5/27/2020","0",0,"FL",12,"4/2/2020","10/1/2020","0","0","0","0","4/2/2020","7/29/2020","0","0","0","0","0","0","0","0","0","0","4/2/2020","10/1/2020","0","0","0","0","0","0","FL",12,"3/24/2020","0","8/5/2020",NA,"","FL",12,"$8.05","$8.05","$8.10","$8.25","$8.56","$8.56","$8.56","$8.56","$8.56","$5.54","$8.65",0,NA,"","FL",12,"3400",2,1133,0,"Max Benefit < $300",7000,0.1,5.4,"$232.04",NA,"","FL",12,323.9,21299325,65758,28328,5.2,13.6,42.1,205426,160.5,1,1,"FL",12,"4/3/2020",1,"0","5/18/2020",NA,"FL - 5/4 ended stay-at-home order for most counties (remained in place only for Miami-Dade, Broward and Palm Beach counties); 5/18 ended order for entire state","FL",12,0,"3/31/2020","0",1,1,1,0,0,0,"275","875","12","25","6/7/2020","11/7/2020","8.7","290","256","0","0",NA,"","","FL",12,"0","0","0","0","0"
