"","state","population_density_per_square_mile","population_2018"
"1","Alabama",93.24,4887871
"2","Alaska",1.11,737438
"3","Arizona",62.91,7171646
"4","Arkansas",56.67,3013825
"5","California",241.65,39557045
"6","Colorado",54.72,5695564
"7","Connecticut",644.54,3572665
"8","Delaware",388.58,967171
"9","District of Columbia",11496.81,702455
"10","Florida",323.9,21299325
"11","Georgia",177.02,10519475
"12","Hawaii",129.94,1420491
"13","Idaho",20.99,1754208
"14","Illinois",220,12741080
"15","Indiana",183.74,6691878
"16","Iowa",56.09,3156145
"17","Kansas",35.39,2911505
"18","Kentucky",110.58,4468402
"19","Louisiana",88.97,4659978
"20","Maine",37.83,1338404
"21","Maryland",487.08,6042718
"22","Massachusetts",653.98,6902149
"23","Michigan",103.36,9995915
"24","Minnesota",64.54,5611179
"25","Mississippi",61.66,2986530
"26","Missouri",87.89,6126452
"27","Montana",7.22,1062305
"28","Nebraska",24.94,1929268
"29","Nevada",27.44,3034392
"30","New Hampshire",145.09,1356458
"31","New Jersey",1021.27,8908520
"32","New Mexico",17.23,2095428
"33","New York",358.21,19542209
"34","North Carolina",192.94,10383620
"35","North Dakota",10.75,760077
"36","Ohio",260.77,11689442
"37","Oklahoma",56.41,3943079
"38","Oregon",42.6,4190713
"39","Pennsylvania",278.09,12807060
"40","Rhode Island",684.35,1057315
"41","South Carolina",158.78,5084127
"42","South Dakota",11.44,882235
"43","Tennessee",160.64,6770010
"44","Texas",106.86,28701845
"45","Utah",37.23,3161105
"46","Vermont",65.13,626299
"47","Virginia",199.13,8517685
"48","Washington",105.69,7535591
"49","West Virginia",74.53,1805832
"50","Wisconsin",88.76,5813568
"51","Wyoming",5.91,577737
