"state","date","avg_retail_rec_change","avg_parks_change","treatment_group","in_quarantine","quarantine_length","mask_order","population","population_density","new_cases","new_cases_per_100k"
"Alabama","2020-02-15",5.1551724137931,49.5714285714286,1,0,0,0,4887871,93.24,0,0
"Alabama","2020-02-16",-1.45454545454545,-5.47619047619048,1,0,0,0,4887871,93.24,0,0
"Alabama","2020-02-17",-1.16949152542373,12.9333333333333,1,0,0,0,4887871,93.24,0,0
"Alabama","2020-02-18",-4.28070175438596,-12.4666666666667,1,0,0,0,4887871,93.24,0,0
"Alabama","2020-02-19",1.43859649122807,6.66666666666667,1,0,0,0,4887871,93.24,0,0
"Alabama","2020-02-20",-7.56896551724138,-27.5882352941176,1,0,0,0,4887871,93.24,0,0
"Alabama","2020-02-21",0.523809523809524,9.33333333333333,1,0,0,0,4887871,93.24,0,0
"Alabama","2020-02-22",4.91379310344828,61.5833333333333,1,0,0,0,4887871,93.24,0,0
"Alabama","2020-02-23",3.14545454545455,12.0555555555556,1,0,0,0,4887871,93.24,0,0
"Alabama","2020-02-24",-3.68421052631579,-19.6,1,0,0,0,4887871,93.24,0,0
"Alabama","2020-02-25",8.40350877192983,31.8333333333333,1,0,0,0,4887871,93.24,0,0
"Alabama","2020-02-26",18.6315789473684,5,1,0,0,0,4887871,93.24,0,0
"Alabama","2020-02-27",16.6491228070175,9.84615384615385,1,0,0,0,4887871,93.24,0,0
"Alabama","2020-02-28",14.2258064516129,20.3571428571429,1,0,0,0,4887871,93.24,0,0
"Alabama","2020-02-29",19.6896551724138,73.3333333333333,1,0,0,0,4887871,93.24,0,0
"Alabama","2020-03-01",22.5740740740741,43.8666666666667,1,0,0,0,4887871,93.24,0,0
"Alabama","2020-03-02",10.0350877192982,-11.9333333333333,1,0,0,0,4887871,93.24,0,0
"Alabama","2020-03-03",26.5178571428571,33.25,1,0,0,0,4887871,93.24,0,0
"Alabama","2020-03-04",7.42105263157895,-5.58333333333333,1,0,0,0,4887871,93.24,0,0
"Alabama","2020-03-05",10.1052631578947,-1,1,0,0,0,4887871,93.24,0,0
"Alabama","2020-03-06",9.14754098360656,27.3571428571429,1,0,0,0,4887871,93.24,0,0
"Alabama","2020-03-07",14.4310344827586,75.8181818181818,1,0,0,0,4887871,93.24,0,0
"Alabama","2020-03-08",14.9444444444444,57.9230769230769,1,0,0,0,4887871,93.24,0,0
"Alabama","2020-03-09",11.7543859649123,35.2307692307692,1,0,0,0,4887871,93.24,0,0
"Alabama","2020-03-10",10.4912280701754,21,1,0,0,0,4887871,93.24,0,0
"Alabama","2020-03-11",10.6666666666667,27.0833333333333,1,0,0,0,4887871,93.24,0,0
"Alabama","2020-03-12",14.2105263157895,43.5384615384615,1,0,0,0,4887871,93.24,0,0
"Alabama","2020-03-13",8.09523809523809,23.2,1,0,0,0,4887871,93.24,0,0
"Alabama","2020-03-14",7.03448275862069,61.1818181818182,1,0,0,0,4887871,93.24,6,0.122752830424535
"Alabama","2020-03-15",-1.69090909090909,2.52941176470588,1,0,0,0,4887871,93.24,11,0.225046855778313
"Alabama","2020-03-16",1.71929824561404,13.9285714285714,1,0,0,0,4887871,93.24,6,0.122752830424535
"Alabama","2020-03-17",-5.89473684210526,27.1666666666667,1,0,0,0,4887871,93.24,10,0.204588050707558
"Alabama","2020-03-18",-9.10344827586207,42,1,0,0,0,4887871,93.24,12,0.245505660849069
"Alabama","2020-03-19",-14.1694915254237,22.3333333333333,1,0,0,0,4887871,93.24,27,0.552387736910405
"Alabama","2020-03-20",-24.90625,5.33333333333333,1,0,0,0,4887871,93.24,28,0.572846541981161
"Alabama","2020-03-21",-28.7868852459016,22.4285714285714,1,0,0,0,4887871,93.24,25,0.511470126768894
"Alabama","2020-03-22",-35.3333333333333,1.5,1,0,0,0,4887871,93.24,26,0.53192893183965
"Alabama","2020-03-23",-28.9827586206897,-16.6,1,0,0,0,4887871,93.24,39,0.797893397759474
"Alabama","2020-03-24",-27.3833333333333,2.75,1,0,0,0,4887871,93.24,46,0.941105033254765
"Alabama","2020-03-25",-22.7118644067797,34.4,1,0,0,0,4887871,93.24,144,2.94606793018883
"Alabama","2020-03-26",-24.4,28.2727272727273,1,0,0,0,4887871,93.24,152,3.10973837075487
"Alabama","2020-03-27",-27.53125,41.2142857142857,1,0,0,0,4887871,93.24,101,2.06633931214633
"Alabama","2020-03-28",-29.8666666666667,21.4545454545455,1,0,0,0,4887871,93.24,81,1.65716321073122
"Alabama","2020-03-29",-35.8545454545455,18.9230769230769,1,0,0,0,4887871,93.24,110,2.25046855778313
"Alabama","2020-03-30",-29.55,7,1,0,0,0,4887871,93.24,117,2.39368019327842
"Alabama","2020-03-31",-33.6065573770492,-19.4285714285714,1,0,0,0,4887871,93.24,52,1.0638578636793
"Alabama","2020-04-01",-19.4067796610169,21,1,0,0,0,4887871,93.24,109,2.23000975271238
"Alabama","2020-04-02",-25.5166666666667,11.9166666666667,1,0,0,0,4887871,93.24,162,3.31432642146243
"Alabama","2020-04-03",-24.578125,25.8,1,0,0,0,4887871,93.24,265,5.42158334375028
"Alabama","2020-04-04",-34.8833333333333,5.83333333333333,1,1,1,0,4887871,93.24,97,1.98450409186331
"Alabama","2020-04-05",-47.2982456140351,3.29411764705882,1,1,2,0,4887871,93.24,208,4.2554314547172
"Alabama","2020-04-06",-36.6176470588235,1.42857142857143,1,1,3,0,4887871,93.24,165,3.3757028366747
"Alabama","2020-04-07",-37.2352941176471,-13.6428571428571,1,1,4,0,4887871,93.24,192,3.9280905735851
"Alabama","2020-04-08",-35.0285714285714,1.83333333333333,1,1,5,0,4887871,93.24,301,6.15810032629748
"Alabama","2020-04-09",-32.4571428571429,5.84615384615385,1,1,6,0,4887871,93.24,340,6.95599372405696
"Alabama","2020-04-10",-31.7692307692308,8.4,1,1,7,0,4887871,93.24,170,3.47799686202848
"Alabama","2020-04-11",-35.8055555555556,21.4615384615385,1,1,8,0,4887871,93.24,254,5.19653648797196
"Alabama","2020-04-12",-61.3529411764706,-47.0416666666667,1,1,9,0,4887871,93.24,321,6.5672764277126
"Alabama","2020-04-13",-28.5882352941176,-7.64285714285714,1,1,10,0,4887871,93.24,222,4.54185472570778
"Alabama","2020-04-14",-25.8823529411765,3.53846153846154,1,1,11,0,4887871,93.24,148,3.02790315047185
"Alabama","2020-04-15",-13.9411764705882,11.5454545454545,1,1,12,0,4887871,93.24,288,5.89213586037766
"Alabama","2020-04-16",-20.5833333333333,14.75,1,1,13,0,4887871,93.24,163,3.33478522653319
"Alabama","2020-04-17",-25.1025641025641,30.3571428571429,1,1,14,0,4887871,93.24,168,3.43707925188697
"Alabama","2020-04-18",-26.6666666666667,12.4545454545455,1,1,15,0,4887871,93.24,151,3.08927956568412
"Alabama","2020-04-19",-41.2647058823529,-40.7391304347826,1,1,16,0,4887871,93.24,180,3.68258491273604
"Alabama","2020-04-20",-17.9411764705882,9.41666666666667,1,1,17,0,4887871,93.24,175,3.58029088738226
"Alabama","2020-04-21",-18.3333333333333,17.75,1,1,18,0,4887871,93.24,249,5.09424246261818
"Alabama","2020-04-22",-17.7142857142857,13.0909090909091,1,1,19,0,4887871,93.24,283,5.78984183502388
"Alabama","2020-04-23",-31.8333333333333,-25.3888888888889,1,1,20,0,4887871,93.24,222,4.54185472570778
"Alabama","2020-04-24",-21.7948717948718,34.2142857142857,1,1,21,0,4887871,93.24,194,3.96900818372662
"Alabama","2020-04-25",-25.1388888888889,16.9090909090909,1,1,22,0,4887871,93.24,187,3.82579654823133
"Alabama","2020-04-26",-24.5757575757576,19.4285714285714,1,1,23,0,4887871,93.24,208,4.2554314547172
"Alabama","2020-04-27",-15.9117647058824,18.1666666666667,1,1,24,0,4887871,93.24,118,2.41413899834918
"Alabama","2020-04-28",-16.3030303030303,22.4545454545455,1,1,25,0,4887871,93.24,211,4.31680786992946
"Alabama","2020-04-29",-16.9117647058824,-6.23076923076923,1,1,26,0,4887871,93.24,175,3.58029088738226
"Alabama","2020-04-30",-12.0277777777778,17.6666666666667,1,0,0,0,4887871,93.24,143,2.92560912511807
"Alabama","2020-05-01",-10.6315789473684,37.0909090909091,1,0,0,0,4887871,93.24,226,4.6236899459908
"Alabama","2020-05-02",-13.1666666666667,46.1,1,0,0,0,4887871,93.24,317,6.48544120742957
"Alabama","2020-05-03",-14.28125,48.5,1,0,0,0,4887871,93.24,277,5.66708900459934
"Alabama","2020-05-04",-6.32352941176471,15.8333333333333,1,0,0,0,4887871,93.24,224,4.58277233584929
"Alabama","2020-05-05",-7.48484848484848,17.6923076923077,1,0,0,0,4887871,93.24,325,6.64911164799562
"Alabama","2020-05-06",-5.67647058823529,37.7,1,0,0,0,4887871,93.24,254,5.19653648797196
"Alabama","2020-05-07",-9.63888888888889,35.5,1,0,0,0,4887871,93.24,355,7.26287580011829
"Alabama","2020-05-08",-17.8684210526316,-1.125,1,0,0,0,4887871,93.24,339,6.9355349189862
"Alabama","2020-05-09",-7.25,39.6363636363636,1,0,0,0,4887871,93.24,283,5.78984183502388
"Alabama","2020-05-10",-12.84375,49.9,1,0,0,0,4887871,93.24,221,4.52139592063702
"Alabama","2020-05-11",-6.08823529411765,29.75,1,0,0,0,4887871,93.24,275,5.62617139445783
"Alabama","2020-05-12",-4.24242424242424,32.1,1,0,0,0,4887871,93.24,300,6.13764152122673
"Alabama","2020-05-13",0.176470588235294,47.5,1,0,0,0,4887871,93.24,236,4.82827799669836
"Alabama","2020-05-14",-3.6,46.7142857142857,1,0,0,0,4887871,93.24,401,8.20398083337306
"Alabama","2020-05-15",-8.29545454545454,44.7272727272727,1,0,0,0,4887871,93.24,272,5.56479497924557
"Alabama","2020-05-16",-6.85714285714286,61.1818181818182,1,0,0,0,4887871,93.24,301,6.15810032629748
"Alabama","2020-05-17",-11.5526315789474,23.5454545454545,1,0,0,0,4887871,93.24,97,1.98450409186331
"Alabama","2020-05-18",-3.64102564102564,15.8571428571429,1,0,0,0,4887871,93.24,315,6.44452359728806
