State,State Abbreviation,State FIPS Code,SNAP Waiver-Emergency Allotments to Current SNAP Households,SNAP Waiver-Pandemic EBT,SNAP Waiver-Temporary Suspension of Claims Collection,2020 Q1 SNAP ABAWD Time Limit Waiver
Alabama,AL,1,3/24/2020,4/21/2020,0,0
Alaska,AK,2,4/1/2020,6/5/2020,0,1
Arizona,AZ,4,4/1/2020,4/17/2020,0,1
Arkansas,AR,5,3/24/2020,5/21/2020,0,0
California,CA,6,3/30/2020,4/23/2020,0,1
Colorado,CO,8,4/1/2020,5/16/2020,4/10/2020,1
Connecticut,CT,9,3/28/2020,4/24/2020,4/2/2020,1
Delaware,DE,10,3/26/2020,4/30/2020,4/13/2020,0
District of Columbia,DC,11,4/1/2020,5/19/2020,0,1
Florida,FL,12,3/30/2020,5/27/2020,0,0
Georgia,GA,13,3/24/2020,6/5/2020,4/10/2020,1
Hawaii,HI,15,4/17/2020,5/28/2020,0,1
Idaho,ID,16,4/2/2020,0,0,1
Illinois,IL,17,4/1/2020,4/17/2020,0,1
Indiana,IN,18,3/27/2020,5/14/2020,4/13/2020,0
Iowa,IA,19,3/25/2020,6/5/2020,0,0
Kansas,KS,20,4/1/2020,4/25/2020,0,0
Kentucky,KY,21,3/28/2020,5/20/2020,0,1
Louisiana,LA,22,3/27/2020,5/20/2020,4/13/2020,1
Maine,ME,23,3/28/2020,5/20/2020,0,1
Maryland,MD,24,4/1/2020,4/28/2020,4/13/2020,1
Massachusetts,MA,25,3/25/2020,4/17/2020,4/10/2020,1
Michigan,MI,26,3/24/2020,4/9/2020,4/9/2020,1
Minnesota,MN,27,4/13/2020,5/27/2020,4/13/2020,1
Mississippi,MS,28,3/27/2020,5/20/2020,4/10/2020,0
Missouri,MO,29,3/30/2020,5/20/2020,0,0
Montana,MT,30,4/1/2020,6/26/2020,4/10/2020,1
Nebraska,NE,31,4/7/2020,6/18/2020,0,0
Nevada,NV,32,4/7/2020,7/10/2020,5/13/2020,1
New Hampshire,NH,33,4/1/2020,5/12/2020,4/13/2020,0
New Jersey,NJ,34,3/25/2020,5/8/2020,4/13/2020,1
New Mexico,NM,35,3/27/2020,4/28/2020,0,1
New York,NY,36,4/1/2020,5/6/2020,0,1
North Carolina,NC,37,3/27/2020,4/16/2020,4/13/2020,0
North Dakota,ND,38,4/1/2020,5/1/2020,0,1
Ohio,OH,39,3/26/2020,5/11/2020,4/13/2020,1
Oklahoma,OK,40,3/30/2020,6/25/2020,4/13/2020,0
Oregon,OR,41,4/6/2020,4/29/2020,4/13/2020,1
Pennsylvania,PA,42,4/2/2020,5/6/2020,4/10/2020,1
Rhode Island,RI,44,3/25/2020,4/10/2020,4/13/2020,1
South Carolina,SC,45,3/24/2020,6/18/2020,4/10/2020,0
South Dakota,SD,46,4/9/2020,6/22/2020,0,1
Tennessee,TN,47,3/24/2020,5/19/2020,0,1
Texas,TX,48,4/6/2020,5/8/2020,4/10/2020,0
Utah,UT,49,4/15/2020,7/9/2020,0,1
Vermont,VT,50,3/27/2020,5/4/2020,0,1
Virginia,VA,51,3/24/2020,4/25/2020,4/13/2020,1
Washington,WA,53,3/27/2020,5/22/2020,0,1
West Virginia,WV,54,3/27/2020,4/30/2020,0,1
Wisconsin,WI,55,4/1/2020,4/22/2020,0,1
Wyoming,WY,56,4/1/2020,4/16/2020,0,0
Total,,,51,50,24,35
