State,State Abbreviation,State FIPS Code,No state unemployment waiting period prior to pandemic; or date waiting period waived not found,Waived one week waiting period for UI,Reinstated one week waiting period for UI,Waive work search requirement for UI,Reinstated work search requirement for UI,Expand eligibility of unemployment insurance to anyone who is quarantined and/or taking care of someone who is quarantined,Expand eligibility for UI to high-risk individuals in preventative quarantine,Expand eligibility of UI to those who have lost childcare/school closures,Extend the amount of time an individual can be on UI,Weekly unemployment insurance maximum amount (dollars),"Weekly UI maximum amount with extra stimulus (through July 31, 2020) (dollars)",Unemployment insurance maximum duration (weeks),UI maximum duration with Pandemic Emergency Unemployment Compensation CARES extension (weeks),Extended Benefits program activated,Extended Benefits program deactivated,Total Unemployment Rate at Extended Benefits program shutoff,Total Unemployment Rate relative to prior year (%),Total Unemployment Rate relative to second prior year (%),20-week Extended Benefits program activated,20-week Extended Benefits program deactivated,,UI Notes,EB Notes
Alabama,AL,1,0,3/16/2020,0,1,1,1,0,0,0,275,875,20,39,5/31/2020,9/26/2020,7.0,250,175,0,0,,AL - Work search requirement waived provided reasonable steps are taken to preserve ability to come back to job when quarantine is lifted or illness subsides,
Alaska,AK,2,0,3/18/2020,0,1,1,1,0,1,0,370,970,26,39,5/3/2020,0,-,-,-,7/5/2020,12/12/2020,,,
Arizona,AZ,4,0,3/20/2020,0,1,1,1,1,1,0,240,840,26,39,6/14/2020,12/12/2020,6.9,150,147,0,0,,,
Arkansas,AR,5,0,3/17/2020,0,1,1,1,0,0,0,451,1051,16,33,5/31/2020,10/17/2020,7.5,208,208,0,0,,,
California,CA,6,0,3/12/2020,0,1,1,1,1,0,0,450,1050,26,39,5/10/2020,0,-,-,-,6/7/2020,1/16/2021,,,CA - 20-week EB activation date officially shows up on 7/12 notice
Colorado,CO,8,0,3/20/2020,0,1,2,0,0,0,0,618,1218,26,39,5/31/2020,11/28/2020,6.5,250,197,0,0,,,
Connecticut,CT,9,1,0,0,1,1,0,0,1,0,649,1249,26,39,4/26/2020,0,-,-,-,8/2/2020,12/12/2020,,,
Delaware,DE,10,0,1,0,1,1,0,0,1,0,400,1000,26,39,5/24/2020,1/9/2021,6.4,160,178,10/11/2020,12/19/2020,,DE - Waiting period has been waived but date is unknown,
District of Columbia,DC,11,0,3/17/2020,0,1,1,1,0,0,0,444,1044,26,39,5/24/2020,0,-,-,-,7/5/2020,1/16/2021,,DC - Work search requirement waived provided “reasonable expectation of continued employment with the current employer” regardless of whether a specific return date has been determined,DC - 20-week EB activation date officially shows up on 11/8 notice
Florida,FL,12,0,3/31/2020,0,1,1,1,0,0,0,275,875,12,25,6/7/2020,11/7/2020,8.7,290,256,0,0,,,
