Variable Name,Variable Label,Description,Category,Type,Unit,Values/Value Range,Value Labels,Notes
STATE,State,US State names,none,note,text,,,
POSTCODE,State Abbreviation,US State abbreviations,none,note,text,"AL, AK, AZ, AR, CA, CO, CT, DE, DC, FL, GA, HI, ID, IL, IN, IA, KS, KY, LA, ME, MD, MA, MI, MN, MS, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WV, WI, WY","AL=""ALABAMA"" AK=""ALASKA"" AZ=""ARIZONA"" AR=""ARKANSAS"" CA=""CALIFORNIA"" CO=""COLORADO"" CT=""CONNECTICUT"" DE=""DELAWARE"" DC=""DISTRICT OF COLUMBIA"" FL=""FLORIDA"" GA=""GEORGIA"" HI=""HAWAII"" ID=""IDAHO"" IL=""ILLINOIS"" IN=""INDIANA"" IA=""IOWA"" KS=""KANSAS"" KY=""KENTUCKY"" LA=""LOUISIANA"" ME=""MAINE"" MD=""MARYLAND"" MA=""MASSACHUSETTS "" MI=""MICHIGAN"" MN=""MINNESOTA"" MS=""MISSISSIPPI"" MO=""MISSOURI"" MT=""MONTANA"" NE=""NEBRASKA"" NV=""NEVADA"" NH=""NEW HAMPSHIRE"" NJ=""NEW JERSEY"" NM=""NEW MEXICO"" NY=""NEW YORK"" NC=""NORTH CAROLINA"" ND=""NORTH DAKOTA"" OH=""OHIO"" OK=""OKLAHOMA""OR=""OREGON"" PA=""PENNSYLVANIA"" RI=""RHODE ISLAND"" SC=""SOUTH CAROLINA"" SD=""SOUTH DAKOTA"" TN=""TENNESSEE"" TX=""TEXAS"" UT=""UTAH"" VT=""VERMONT"" VA=""VIRGINIA"" WA=""WASHINGTON"" WV=""WEST VIRGINIA"" WI=""WISCONSIN"" WY=""WYOMING""",
FIPS,FIPS Code,US State FIPS Codes,FIPS,note,number,range: 1-51,Alabama=01  Alaska=02 Arizona=04 Arkansas=05 California=06 Colorado=08 Connecticut=09 Delaware=10 District of Columbia=11 Florida=12  Georgia=13  Hawaii=15 Idaho=16 Illinois=17 Indiana=18  Iowa=19  Kansas=20 Kentucky=21 Louisiana=22 Maine=23 Maryland=24 Massachusetts=25 Michigan=26 Minnesota=27 Mississippi=28 Missouri=29 Montana=30 Nebraska=31 Nevada=32 New Hampshire= 33  New Jersey=34  New Mexico=35 New York=36  North Carolina=37  North Dakota=38  Ohio=39  Oklahoma=40  Oregon=41 Pennsylvania=42  Rhode Island=44  South Carolina=45 South Dakota=46 Tennessee=47 Texas=48 Utah=49 Vermont=50 Virginia=51  Washington=53 West Virginia=54 Wisconsin=55 Wyoming=56,
STEMERG,State of emergency issued,The date a state first issued any type of emergency declaration,state_of_emergency,start,date,0: policy not implemented;,,
STEMERGEND,State of emergency expired,The date a state allowed its emergency declaration to expire,state_of_emergency,end,date,0: policy not implemented;,,
CLSCHOOL,Date closed K-12 public schools,The date a state closed K-12 public schools statewide. Only included directives/orders. Did not include guidance or recommendations. Order must apply to entire state,physical_distance_closure,start,date,0: policy not implemented;,,"Did not require executive order if department of education closed all public schools. If spring break prior to closure, considered closure to begin on first day of spring break. If closure announced on weekend, first week day closed is listed. If closure announced in evening, considered to apply to next day. Some states only applied order to public schools. Checked against: https://www.edweek.org/ew/section/multimedia/map-coronavirus-and-school-closures.html"
CLDAYCR,Closed day cares,The date a state closed daycares statewide. Only included directives/orders. Did not include guidance or recommendations. Order must apply to entire state,physical_distance_closure,start,date,0: policy not implemented;,,"If closure announced in evening, considered to apply to next day. If closure announced on weekend, first week day closed is listed. Checked against: https://www.childcareaware.org/"
OPNCLDCR,Reopen day cares,The date a state reopened daycares statewide. If a state never closed daycares they will be marked as 0.,Reopening,end,date,0: policy not implemented;,,
CLNURSHM,Date banned visitors to nursing homes,The date a state banned visitors to nursing homes statewide. Only included directives/orders. Did not include guidance or recommendations. Order must apply to entire state,physical_distance_closure,start,date,0: policy not implemented;,,Only included if directed/ordered. Guidance or recommendations were not included.
STAYHOME,Stay at home/ shelter in place,The date a state's stay at home/shelter in place order went into effect. Only included directives/orders. Did not include guidance or recommendations. Order must apply to entire state,shelter,start,date,0: policy not implemented;,,Only included directives/orders not guidance or recommendation. Order must apply to entire state.
STAYHOMENOGP,Stay at home order' issued but did not specifically restrict movement of the general public,"If a state issued a stay at home order that did not order the general public to stay at home but instead applied to portions of the population, businesses closures, or suggested but did not order we have recorded the date here to provide clarity to those using other databases.",shelter,start,date,0: policy not implemented;,,
END_STHM,End stay at home/shelter in place,The date a state ended their stay at home/shelter in place order or allowed it to expire. Order must apply to entire state,shelter,end,date,0: policy not implemented;,,Only included if order applies to entire state
CLBSNS,Closed other non-essential businesses,The date a state closed non-essential businesses statewide. Only included directives/orders. Did not include guidance or recommendations. Order must apply to entire state,physical_distance_closure,start,date,0: policy not implemented;,,"Only applies if directive or order, not guidance or recommendation. Order must apply to entire state."
CURFEW,Closed businesses overnight,The date a state implemented an order to close businesses for certain hours overnight,physical_distance_closure,start,date,0: policy not implemented;,,
END_BSNS,Began to reopen businesses,The date a state began to reopen businesses that were previously closed due to COVID-19 statewide. Order must apply to entire state.,physical_distance_closure,end,date,0: policy not implemented;,,Date refer to when a state first reopened any business that was originally ordered to close. Order must apply to entire state.
RELIGEX,Religious Gatherings Exempt Without Clear Social Distance Mandate*,An indicator of whether or not a state exempted religious gatherings from social distancing mandates. A clear social distancing requirement is defined as a mandate that gatherings must be less than 10 people and/or adherence to CDC social distance guidelines. Must be statewide.,shelter,attribute,flag,"1,0","1=""YES"",0=""NO""",
FM_ALL,Mandate face mask use by all individuals in public spaces,"The date a state mandated face mask use in public spaces by all individuals statewide.The order does not have to apply to all public spaces, but must apply state wide. Only included directives/orders. Did not include guidance or recommendations. Order must apply to entire state",masks,start,date,0: policy not implemented;,,Only included if directed/ordered. Guidance or recommendations were not included.
FMFINE,Face mask mandate enforced by fines,Whether a face mask mandate is enforced through fines. Must apply to entire state.,masks,attribute,flag,"1,0","1=""YES"",0=""NO""",
FMCITE,Face mask mandate enforced by criminal charge/citation,Whether a face mask mandate is enforced through criminal charges/citations. Must apply to entire state.,masks,attribute,flag,"1,0","1=""YES"",0=""NO""",
FMNOENF,No legal enforcement of face mask mandate,Whether any legal enforcement measures of the face mask mandate are present statewide,masks,attribute,flag,"1,0","1=""YES"",0=""NO""",
FMEND,State ended statewide mask use by individuals in public spaces,The date a state reduced its order from applying to the entire state to only applying to certain high risk regions. Does not apply to states that never had a statewide order,masks,end,date,0: policy not implemented;,,
FMSTP,Attempt by state government to prevent local governments from implementing face mask orders,"The date a state official attempted to block efforts by local governments at passing local mask laws. Could be an executive order preventing harsher local ordinances, proclamations, or threats to black funding.",masks,start,date,0: policy not implemented;,,
FM_EMP,Mandate face mask use by employees in public-facing businesses,The date a state mandated that employees in public facing businesses must wear face masks statewide.  Did not include guidance or recommendations. Order must apply to entire state,masks,start,date,0: policy not implemented;,,
ALCOPEN,Alcohol/Liquor Stores Open,Whether states kept alcohol/liquor stores open during the pandemic. Must apply to entire state,alcohol_firearms,attribute,flag,"1,0","1=""YES"",0=""NO""",
ALCREST,Allow restaurants to sell takeout alcohol,The date when states allowed restaurants to sell takeout alcohol.  Must apply to entire state,alcohol_firearms,start,date,0: policy not implemented;,,
ALCDELIV,Allow restaurants to deliver alcohol,The date when states allowed restaurants to deliver alcohol.  Must apply to entire state,alcohol_firearms,start,date,0: policy not implemented;,,
GUNOPEN,Keep Firearms Sellers Open,Whether states kept firearms sellers open. Must apply to entire state.,alcohol_firearms,attribute,flag,"1,0","1=""YES"",0=""NO""","If states initially closed, then later reopened firearm sellers during the pandemic (not as part of the phased reopening process), they would be indicated as 1"
CLREST,Closed restaurants except take out,The date when states closed restaurants (except for takeout). Did not include guidance or recommendations. Order must apply to entire state,physical_distance_closures,start,date,0: policy not implemented;,,
